word,decision,reason_or_evidence
BAA,exclude,no clear singular countable sense (heuristic)
BAD,exclude,no clear singular countable sense (heuristic)
BAG,keep,00432881: an activity that you like or at which you are superior
BAM,keep,07376257: a sudden very loud noise
BAN,keep,06542047: a decree that prohibits something
BAP,exclude,no clear singular countable sense (heuristic)
BAR,keep,02788689: a rigid piece of metal or wood
BAT,keep,02139199: nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate
BAY,keep,02388917: a horse of a moderate reddish-brown color
BED,keep,02818832: a piece of furniture that provides a place to sleep
BEE,keep,07975909: a social gathering to carry out some communal task or to hold competitions
BEN,keep,09218641: a mountain or tall hill
BET,exclude,no clear singular countable sense (heuristic)
BEY,exclude,no clear singular countable sense (heuristic)
BIB,keep,02834295: a napkin tied under the chin of a child while eating
BID,keep,00786887: an attempt to get something
BIN,keep,02839910: a container
BIT,keep,06892016: a short theatrical performance that is part of a longer program
BIZ,exclude,no clear singular countable sense (heuristic)
BOA,keep,03325584: a long thin fluffy scarf of feathers or fur
BOB,keep,00336274: a short abrupt inclination (as of the head)
BOD,exclude,no clear singular countable sense (heuristic)
BOG,exclude,no clear singular countable sense (heuristic)
BOO,keep,07123870: a cry or noise made to express displeasure or contempt
BOP,keep,07063101: an early form of modern jazz (originating around 1940)
BOT,keep,02311879: botfly larva
BOW,keep,00547765: a stroke with a curved piece of wood with taut horsehair strands that is used in playing stringed instruments
BOY,keep,09870926: a friendly informal reference to a grown man
BRA,keep,02892767: an undergarment worn by women to support their breasts
BUD,keep,11674914: a partially opened flower
BUG,keep,01384491: a minute life form (especially a disease-causing bacterium)
BUM,keep,10539715: a person who is deemed to be despicable or contemptible
BUN,exclude,no clear singular countable sense (heuristic)
BUR,exclude,no clear singular countable sense (heuristic)
BUS,keep,02924116: a vehicle carrying many passengers
BUY,keep,13253751: an advantageous purchase
BYE,keep,06629610: a farewell remark
CAB,keep,02930766: a car driven by a person whose job is to take passengers where they want to go in exchange for money
CAD,keep,09886220: someone who is morally reprehensible
CAM,keep,02941716: a rotating disk shaped to convert circular into linear motion
CAN,keep,04446276: a room or building equipped with one or more toilets
CAP,keep,02954340: a tight-fitting headdress
CAR,keep,02934451: a conveyance for passengers or freight on a cable railway
CAT,keep,02121620: feline mammal usually having thick soft fur and no ability to roar: domestic cats
CAW,exclude,no clear singular countable sense (heuristic)
CAY,keep,09325395: a coral reef off the southern coast of Florida
CHI,exclude,no clear singular countable sense (heuristic)
COB,keep,01858780: adult male swan
COD,keep,02522399: major food fish of Arctic and cold-temperate waters
COG,keep,09934337: a subordinate who performs an important but routine function
COL,keep,09249034: a pass between mountain peaks
CON,keep,00779248: a swindle in which you cheat at gambling or persuade a person to buy worthless property
COO,exclude,no clear singular countable sense (heuristic)
COP,exclude,no clear singular countable sense (heuristic)
COS,exclude,possible plural or plural-only form
COT,keep,03114504: a small bed that folds up for storage or transport
COW,keep,01887787: mature female of mammals of which the male is called `bull'
COX,exclude,no clear singular countable sense (heuristic)
CRY,keep,07014752: a fit of weeping
CUB,keep,01322685: the young of certain carnivorous mammals such as the bear or wolf or lion
CUD,keep,07579399: a wad of something chewable as tobacco
CUE,keep,05829213: a stimulus that provides information about what to do
CUM,exclude,no clear singular countable sense (heuristic)
CUP,keep,03147509: a small open container usually used for drinking
CUR,keep,02084861: an inferior dog or one of mixed breed
CUT,keep,00067254: an unexcused absence from class
CWM,keep,09245515: a steep-walled semicircular basin in a mountain
DAB,keep,00125436: a light touch or stroke
DAD,keep,09988063: an informal term for a father
DAG,keep,03591901: a flap along the edge of a garment
DAH,exclude,no clear singular countable sense (heuristic)
DAK,exclude,no clear singular countable sense (heuristic)
DAL,keep,13624509: a metric unit of volume or capacity equal to 10 liters
DAM,keep,01323493: female parent of an animal especially domestic livestock
DAS,exclude,possible plural or plural-only form
DAW,keep,01579578: common black-and-grey Eurasian bird noted for thievery
DAY,keep,14484516: a period of opportunity
DEB,keep,09997834: a young woman making her debut into society
DEN,keep,03175081: a room that is comfortable and secluded
DEW,exclude,no clear singular countable sense (heuristic)
DIE,keep,03191029: a small cube with 1 to 6 spots on the six faces
DIG,keep,04693557: a small gouge (as in the cover of a book)
DIN,keep,07377473: a loud harsh or strident noise
DIP,keep,00435013: a gymnastic exercise on the parallel bars in which the body is lowered and raised by bending and straightening the arms
DIT,exclude,no clear singular countable sense (heuristic)
DOC,keep,10020890: a licensed medical practitioner
DOE,keep,01888411: mature female of mammals of which the male is called `buck'
DOG,keep,03901548: a hinged catch that fits into a notch of a ratchet to move a wheel forward or prevent it from moving backward
DON,exclude,no clear singular countable sense (heuristic)
DOT,keep,13911872: a very small circular shape
DRY,keep,10037922: a reformer who opposes the use of intoxicating beverages
DUB,exclude,no clear singular countable sense (heuristic)
DUD,keep,07365193: an event that fails badly or is totally ineffectual
DUE,keep,"13396861: a payment that is due (e.g., as the price of membership)"
DUG,keep,02370265: an udder or breast or teat
DUN,keep,02381261: horse of a dull brownish grey color
DUO,keep,07041451: a musical composition for two performers
DYE,exclude,no clear singular countable sense (heuristic)
FAD,keep,05751173: an interest followed with exaggerated zeal
FAG,exclude,no clear singular countable sense (heuristic)
FAN,keep,03320046: a device for creating a current of air by movement of a surface or surfaces
FAT,keep,05268965: a kind of body tissue containing stored fat that serves as a source of energy
FAY,keep,"09540430: a small being, human in form, playful and having magical powers"
FEE,keep,13288529: an interest in land capable of being inherited
FEN,exclude,no clear singular countable sense (heuristic)
FEW,keep,08388074: a small elite group
FEZ,keep,03331077: a felt cap (usually red) for a man
FIB,keep,06757057: a trivial lie
FIG,keep,06999647: a diagram or picture illustrating textual material
FIN,keep,02466132: organ of locomotion and balance in fishes and some other aquatic animals
FIR,exclude,no clear singular countable sense (heuristic)
FIT,keep,00555325: a sudden flurry of activity (often for no obvious reason)
FIX,keep,00155487: a determination of the place where something is
FLU,keep,14122497: an acute febrile highly contagious viral disease
FLY,keep,02190166: two-winged insects characterized by active flight
FOB,keep,03374978: an adornment that hangs from a watch chain
FOE,keep,10055847: an armed adversary (especially a member of an opposing military force)
FOG,keep,14521648: an atmosphere in which visibility is reduced because of a cloud of some substance
FOP,keep,09991026: a man who is much concerned with his dress and appearance
FOX,keep,02118333: alert carnivorous mammal with pointed muzzle and ears and a bushy tail
FRY,keep,09917593: a young person of either sex
FUG,exclude,no clear singular countable sense (heuristic)
FUN,keep,04649261: a disposition to find (or make) causes for amusement
FUR,keep,"01899062: dense coat of fine silky hairs on mammals (e.g., cat or seal or weasel)"
GAB,exclude,no clear singular countable sense (heuristic)
GAD,keep,04290259: a sharp prod fixed to a rider's heel and used to urge a horse onward
GAG,keep,06778102: a humorous anecdote or remark intended to provoke laughter
GAL,keep,13648793: a unit of gravitational acceleration equal to one centimeter per second per second (named after Galileo)
GAM,keep,07994752: a herd of whales
GAP,keep,00383952: an act of delaying or interrupting the continuity
GAR,keep,02549989: elongate European surface-dwelling predacious fishes with long toothed jaws
GAS,exclude,irregular plural form
GAT,keep,03427202: a gangster's pistol
GAY,keep,10182913: someone who practices homosexuality
GEE,keep,13648596: a unit of force equal to the force exerted by gravity
