word,decision,reason_or_evidence
BAAL,exclude,no clear singular countable sense (heuristic)
BABA,exclude,no clear singular countable sense (heuristic)
BABE,keep,09827683: a very young child (birth to 1 year) who has not yet begun to walk or talk
BABU,exclude,no clear singular countable sense (heuristic)
BABY,keep,00796767: a project of personal concern to someone
BACH,exclude,no clear singular countable sense (heuristic)
BACK,keep,02767433: a support that you can lean against while sitting
BADE,exclude,no clear singular countable sense (heuristic)
BAHT,exclude,no clear singular countable sense (heuristic)
BAIL,exclude,no clear singular countable sense (heuristic)
BAIT,exclude,no clear singular countable sense (heuristic)
BAKU,exclude,no clear singular countable sense (heuristic)
BALE,keep,02778456: a large bundle bound for storage or transport
BALI,exclude,no clear singular countable sense (heuristic)
BALK,keep,00107279: an illegal pitching motion while runners are on base
BALL,keep,00107400: a pitch that is not in the strike zone
BALM,exclude,no clear singular countable sense (heuristic)
BAND,keep,02784218: a thin flat strip of flexible material that is worn around the body or one of the limbs (especially to decorate the body)
BANE,exclude,no clear singular countable sense (heuristic)
BANG,keep,00064504: a conspicuous success
BANK,keep,00169305: a flight maneuver
BARB,keep,02790322: a subsidiary point facing opposite from the main point that makes an arrowhead or spear hard to remove
BARD,keep,02792305: an ornamental caparison for a horse
BARI,exclude,no clear singular countable sense (heuristic)
BARK,keep,02793199: a sailing ship with 3 (or more) masts
BARM,exclude,no clear singular countable sense (heuristic)
BARN,keep,02793495: an outlying farm building for storing grain or animal feed and housing farm animals
BASE,keep,02797692: a support or foundation
BASH,keep,07410207: a vigorous blow
BASS,keep,02565573: nontechnical name for any of numerous edible marine and freshwater spiny-finned fishes
BAST,exclude,no clear singular countable sense (heuristic)
BATH,keep,02806530: a vessel containing liquid in which something is immersed (as to process it or to maintain it at a constant temperature or to lubricate it)
BAUD,exclude,no clear singular countable sense (heuristic)
BAWD,keep,10485440: a woman who engages in sexual intercourse for money
BAYA,keep,01543175: common Indian weaverbird
BEAD,keep,02815071: a small ball with a hole through the middle
BEAK,keep,01758308: horny projecting mouth of a bird
BEAM,keep,02777292: a gymnastic apparatus used by women gymnasts
BEAN,exclude,no clear singular countable sense (heuristic)
BEAR,keep,02131653: massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws
BEAT,keep,00547616: a stroke or blow
BEAU,keep,09871364: a man who is the lover of a girl or young woman
BECK,keep,06877008: a beckoning gesture
BEEF,keep,02404186: cattle that are reared for their meat
BEER,exclude,no clear singular countable sense (heuristic)
BEET,exclude,no clear singular countable sense (heuristic)
BELL,keep,02824448: a hollow device made of metal that makes a ringing sound when struck
BELT,keep,02827606: a band to tie or buckle around the body (usually at the waist)
BEMA,exclude,no clear singular countable sense (heuristic)
BEND,keep,13869327: a circular segment of a curve
BENT,keep,05624254: a special way of doing something
BERG,keep,09308572: a large mass of ice floating at sea
BERM,keep,04206948: a narrow edge of land (usually unpaved) along the side of a road
BEST,exclude,no clear singular countable sense (heuristic)
BETA,exclude,no clear singular countable sense (heuristic)
BETH,exclude,no clear singular countable sense (heuristic)
BEVY,keep,07991579: a flock of birds (especially when gathered close together on the ground)
BIAS,keep,06201908: a partiality that prevents objective consideration of an issue or situation
BIER,keep,02836268: a stand to support a corpse or a coffin prior to burial
BIFF,exclude,no clear singular countable sense (heuristic)
BIKE,keep,02834778: a wheeled vehicle that has two wheels and is moved by foot pedals
BILE,exclude,no clear singular countable sense (heuristic)
BILL,keep,01758308: horny projecting mouth of a bird
BIND,exclude,no clear singular countable sense (heuristic)
BINE,exclude,no clear singular countable sense (heuristic)
BIRD,keep,01503061: warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings
BIRR,exclude,no clear singular countable sense (heuristic)
BITE,keep,00361041: a portion removed from the whole
BITT,keep,02864593: a strong post (as on a wharf or quay or ship for attaching mooring lines)
BLAH,exclude,no clear singular countable sense (heuristic)
BLEB,exclude,no clear singular countable sense (heuristic)
BLIP,keep,07263358: a radar echo displayed so as to show the position of a reflecting surface
BLOB,keep,13910019: an indistinct shapeless form
BLOC,keep,08171094: a group of countries in special alliance
BLOT,keep,00072261: an act that brings discredit to the person who does it
BLOW,keep,01173038: a powerful stroke with the fist or a weapon
BLUE,exclude,no clear singular countable sense (heuristic)
BLUR,keep,05940414: a hazy or indistinct representation
BOAR,keep,02396014: an uncastrated male hog
BOAT,keep,02858304: a small vessel for travel on water
BOCK,exclude,no clear singular countable sense (heuristic)
BODY,keep,04261506: a resonating chamber in a musical instrument (as the body of a violin)
BOGY,keep,02863638: an unidentified (and possibly enemy) aircraft
BOIL,keep,14183210: a painful sore with a hard core filled with pus
BOLA,keep,02864342: a rope with weights attached to the ends
BOLD,keep,06827219: a typeface with thick heavy lines
BOLE,exclude,no clear singular countable sense (heuristic)
BOLL,exclude,no clear singular countable sense (heuristic)
BOLO,keep,02865351: a cord fastened around the neck with an ornamental clasp and worn as a necktie
BOLT,keep,00204943: a sudden abandonment (as from a political party)
BOMB,keep,02866578: an explosive device fused to explode under specific conditions
BOND,keep,02755352: a connection that fastens things together
BONE,keep,04961331: a shade of white the color of bleached bones
BONG,keep,07376454: a dull resonant sound as of a bell
BOOB,keep,10039391: an ignorant or foolish person
BOOK,keep,02870526: a number of sheets (ticket or stamps etc.) bound together on one edge
BOOM,keep,02871824: a pole carrying an overhead microphone projected over a film or tv set
BOON,keep,14474264: a desirable state
BOOR,keep,10410815: a crude uncouth ill-bred person lacking culture or refinement
BOOT,keep,00422261: a form of foot torture in which the feet are encased in iron and slowly crushed
BORE,keep,02875233: a hole or passage made by a drill
BORN,exclude,no clear singular countable sense (heuristic)
BOSE,exclude,no clear singular countable sense (heuristic)
BOSH,exclude,no clear singular countable sense (heuristic)
BOSK,keep,08438840: a small wooded area
BOSS,keep,03626115: a circular rounded projection or protuberance
BOTA,keep,02876457: a wine bottle made of leather
BOUT,keep,00510723: an occasion for excessive eating or drinking
BOWL,keep,02880940: a dish that is round and open at the top for serving foods
BOZO,keep,10153414: an informal term for a youth or man
BRAD,keep,02888817: a small nail
BRAE,keep,09228055: a slope or hillside
BRAG,keep,07229747: an instance of boastful talk
BRAN,exclude,no clear singular countable sense (heuristic)
BRAT,keep,10702483: a very troublesome child
BRAY,exclude,no clear singular countable sense (heuristic)
BREW,exclude,no clear singular countable sense (heuristic)
BRIG,keep,02901259: a penal institution (especially on board a ship)
BRIM,keep,02902079: a circular projection that sticks outward from the crown of a hat
BRIT,keep,01996895: minute crustaceans forming food for right whales
BROW,exclude,no clear singular countable sense (heuristic)
BUBO,keep,14315722: a lymph node that is inflamed and swollen because of plague or gonorrhea or tuberculosis
BUCK,keep,01888264: mature male of various mammals (especially deer or antelope)
BUFF,keep,02910964: an implement consisting of soft material mounted on a block
BUFO,exclude,no clear singular countable sense (heuristic)
BUHL,keep,02878628: an inlaid furniture decoration
BULB,keep,02915480: a rounded part of a cylindrical instrument (usually at one end)
BULK,exclude,no clear singular countable sense (heuristic)
BULL,keep,00075790: a serious and ludicrous blunder
BUMP,keep,07338681: an impact (as from a collision)
BUNA,exclude,no clear singular countable sense (heuristic)
BUNG,keep,02919648: a plug used to close a hole in a barrel or flask
BUNK,keep,02831724: a bed on a ship or train
BUNT,exclude,no clear singular countable sense (heuristic)
BUOY,exclude,no clear singular countable sense (heuristic)
BURG,exclude,no clear singular countable sense (heuristic)
BURL,keep,13166044: a large rounded outgrowth on the trunk or branch of a tree
